PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33119343","The role of emotions in esports performance","Behnke M, Gross JJ, Kaczmarek LD.","Emotion. 2020 Oct 29. doi: 10.1037/emo0000903. Online ahead of print.","Behnke M","Emotion","2020","2020/10/29","","","10.1037/emo0000903"
"30014574","Should I stay or should I go? Approach/avoidance conflict and emotional functioning","Wilborn DD, Kramer MP, Stevenson BL, Dvorak RD.","Personal Ment Health. 2018 Nov;12(4):298-308. doi: 10.1002/pmh.1428. Epub 2018 Jul 16.","Wilborn DD","Personal Ment Health","2018","2018/07/18","","","10.1002/pmh.1428"
"31105378","Approach, avoidance, and the detection of conflict in the development of behavioral inhibition","Barker TV, Buzzell GA, Fox NA.","New Ideas Psychol. 2019 Apr;53:2-12. doi: 10.1016/j.newideapsych.2018.07.001. Epub 2018 Aug 4.","Barker TV","New Ideas Psychol","2019","2019/05/21","PMC6518416","NIHMS991324","10.1016/j.newideapsych.2018.07.001"
"32535212","Food approach bias is moderated by the desire to eat specific foods","Kahveci S, Meule A, Lender A, Blechert J.","Appetite. 2020 Nov 1;154:104758. doi: 10.1016/j.appet.2020.104758. Epub 2020 Jun 11.","Kahveci S","Appetite","2020","2020/06/15","","","10.1016/j.appet.2020.104758"
"32717654","Social inhibition and approach-avoidance tendencies towards facial expressions","Duijndam S, Kupper N, Denollet J, Karreman A.","Acta Psychol (Amst). 2020 Sep;209:103141. doi: 10.1016/j.actpsy.2020.103141. Epub 2020 Jul 24.","Duijndam S","Acta Psychol (Amst)","2020","2020/07/28","","","10.1016/j.actpsy.2020.103141"
"30804529","Divergent medial amygdala projections regulate approach-avoidance conflict behavior","Miller SM, Marcotulli D, Shen A, Zweifel LS.","Nat Neurosci. 2019 Apr;22(4):565-575. doi: 10.1038/s41593-019-0337-z. Epub 2019 Feb 25.","Miller SM","Nat Neurosci","2019","2019/02/27","PMC6446555","NIHMS1518349","10.1038/s41593-019-0337-z"
"32761312","Proactive engagement of cognitive control modulates implicit approach-avoidance bias","Harlé KM, Bomyea J, Spadoni AD, Simmons AN, Taylor CT.","Cogn Affect Behav Neurosci. 2020 Oct;20(5):998-1010. doi: 10.3758/s13415-020-00815-3.","Harlé KM","Cogn Affect Behav Neurosci","2020","2020/08/08","PMC8210886","NIHMS1709165","10.3758/s13415-020-00815-3"
"31749280","Double dissociation of learned approach-avoidance conflict processing and spatial pattern separation along the dorsoventral axis of the dentate gyrus","Yeates DCM, Ussling A, Lee ACH, Ito R.","Hippocampus. 2020 Jun;30(6):596-609. doi: 10.1002/hipo.23182. Epub 2019 Nov 21.","Yeates DCM","Hippocampus","2020","2019/11/22","","","10.1002/hipo.23182"
"23041073","Neuroscience and approach/avoidance personality traits: a two stage (valuation-motivation) approach","Corr PJ, McNaughton N.","Neurosci Biobehav Rev. 2012 Nov;36(10):2339-54. doi: 10.1016/j.neubiorev.2012.09.013. Epub 2012 Oct 4.","Corr PJ","Neurosci Biobehav Rev","2012","2012/10/09","","","10.1016/j.neubiorev.2012.09.013"
"32633192","Social avoidance behaviour modulates automatic avoidance actions to social reward-threat conflict","Evans TC, Britton JC.","Cogn Emot. 2020 Dec;34(8):1711-1720. doi: 10.1080/02699931.2020.1787353. Epub 2020 Jul 7.","Evans TC","Cogn Emot","2020","2020/07/08","","","10.1080/02699931.2020.1787353"
"25520694","The potential role of temporal dynamics in approach biases: delay-dependence of a general approach bias in an alcohol approach-avoidance task","Gladwin TE, Mohr SE, Wiers RW.","Front Psychol. 2014 Dec 1;5:1398. doi: 10.3389/fpsyg.2014.01398. eCollection 2014.","Gladwin TE","Front Psychol","2014","2014/12/19","PMC4249454","","10.3389/fpsyg.2014.01398"
"21843556","A reverse translational approach to quantify approach-avoidance conflict in humans","Aupperle RL, Sullivan S, Melrose AJ, Paulus MP, Stein MB.","Behav Brain Res. 2011 Dec 1;225(2):455-63. doi: 10.1016/j.bbr.2011.08.003. Epub 2011 Aug 6.","Aupperle RL","Behav Brain Res","2011","2011/08/17","PMC3381365","NIHMS321754","10.1016/j.bbr.2011.08.003"
"32218744","Oxytocin Normalizes Approach-Avoidance Behavior in Women With Borderline Personality Disorder","Schneider I, Boll S, Volman I, Roelofs K, Spohn A, Herpertz SC, Bertsch K.","Front Psychiatry. 2020 Mar 11;11:120. doi: 10.3389/fpsyt.2020.00120. eCollection 2020.","Schneider I","Front Psychiatry","2020","2020/03/29","PMC7078372","","10.3389/fpsyt.2020.00120"
"25224633","Neural substrates of approach-avoidance conflict decision-making","Aupperle RL, Melrose AJ, Francisco A, Paulus MP, Stein MB.","Hum Brain Mapp. 2015 Feb;36(2):449-62. doi: 10.1002/hbm.22639. Epub 2014 Sep 15.","Aupperle RL","Hum Brain Mapp","2015","2014/09/17","PMC4300249","NIHMS629147","10.1002/hbm.22639"
"33335479","Approach and Avoidance Behavior in Female Patients With Borderline Personality Disorder","Wiesenfeller J, Flasbeck V, Brown EC, Brüne M.","Front Behav Neurosci. 2020 Dec 1;14:588874. doi: 10.3389/fnbeh.2020.588874. eCollection 2020.","Wiesenfeller J","Front Behav Neurosci","2020","2020/12/18","PMC7736178","","10.3389/fnbeh.2020.588874"
"30583260","Cognitive bias modification in problem and pathological gambling using a web-based approach-avoidance task: A pilot trial","Wittekind CE, Bierbrodt J, Lüdecke D, Feist A, Hand I, Moritz S.","Psychiatry Res. 2019 Feb;272:171-181. doi: 10.1016/j.psychres.2018.12.075. Epub 2018 Dec 14.","Wittekind CE","Psychiatry Res","2019","2018/12/25","","","10.1016/j.psychres.2018.12.075"
"27538198","Approach bias modification training and consumption: A review of the literature","Kakoschke N, Kemps E, Tiggemann M.","Addict Behav. 2017 Jan;64:21-28. doi: 10.1016/j.addbeh.2016.08.007. Epub 2016 Aug 10.","Kakoschke N","Addict Behav","2017","2016/08/19","","","10.1016/j.addbeh.2016.08.007"
"30685681","Stress, aggression, and the balance of approach and avoidance","Vogel S, Schwabe L.","Psychoneuroendocrinology. 2019 May;103:137-146. doi: 10.1016/j.psyneuen.2019.01.020. Epub 2019 Jan 18.","Vogel S","Psychoneuroendocrinology","2019","2019/01/28","","","10.1016/j.psyneuen.2019.01.020"
"32325387","Approach bias for erotic stimuli among heterosexual female college students who use pornography","Sklenarik S, Potenza MN, Gola M, Astur RS.","Addict Behav. 2020 Sep;108:106438. doi: 10.1016/j.addbeh.2020.106438. Epub 2020 Apr 16.","Sklenarik S","Addict Behav","2020","2020/04/24","","","10.1016/j.addbeh.2020.106438"
"32359048","Temporal Dynamics of Smoking-Related Approach Biases: A Comparison Between Male Smokers and Nonsmokers","Wei XY, Chen HD, Li XW, Li XY, Li WJ.","J Stud Alcohol Drugs. 2020 Mar;81(2):190-194.","Wei XY","J Stud Alcohol Drugs","2020","2020/05/03","","",""
"24560572","Human hippocampus arbitrates approach-avoidance conflict","Bach DR, Guitart-Masip M, Packard PA, Miró J, Falip M, Fuentemilla L, Dolan RJ.","Curr Biol. 2014 Mar 3;24(5):541-7. doi: 10.1016/j.cub.2014.01.046. Epub 2014 Feb 20.","Bach DR","Curr Biol","2014","2014/02/25","PMC3969259","","10.1016/j.cub.2014.01.046"
"27078742","Dispositional anger and the resolution of the approach-avoidance conflict","Robinson MD, Boyd RL, Persich MR.","Emotion. 2016 Sep;16(6):838-49. doi: 10.1037/emo0000189. Epub 2016 Apr 14.","Robinson MD","Emotion","2016","2016/04/15","","","10.1037/emo0000189"
"28495358","Animal to human translational paradigms relevant for approach avoidance conflict decision making","Kirlic N, Young J, Aupperle RL.","Behav Res Ther. 2017 Sep;96:14-29. doi: 10.1016/j.brat.2017.04.010. Epub 2017 Apr 24.","Kirlic N","Behav Res Ther","2017","2017/05/13","PMC5548639","NIHMS874842","10.1016/j.brat.2017.04.010"
"34113294","Pushing or Pulling Your ""Poison"": Clinical Correlates of Alcohol Approach and Avoidance Bias Among Inpatients Undergoing Alcohol Withdrawal Treatment","Piercy H, Manning V, Staiger PK.","Front Psychol. 2021 May 25;12:663087. doi: 10.3389/fpsyg.2021.663087. eCollection 2021.","Piercy H","Front Psychol","2021","2021/06/11","PMC8186551","","10.3389/fpsyg.2021.663087"
"33119490","Greater decision uncertainty characterizes a transdiagnostic patient sample during approach-avoidance conflict: a computational modelling approach","Smith R, Kirlic N, Stewart JL, Touthang J, Kuplicki R, Khalsa SS, Feinstein J, Paulus MP, Aupperle RL.","J Psychiatry Neurosci. 2021 Jan 4;46(1):E74-E87. doi: 10.1503/jpn.200032.","Smith R","J Psychiatry Neurosci","2021","2020/10/29","PMC7955838","","10.1503/jpn.200032"
"31841542","Cognitive bias modification for energy drink cues","Kemps E, Tiggemann M, Cibich M, Cabala A.","PLoS One. 2019 Dec 16;14(12):e0226387. doi: 10.1371/journal.pone.0226387. eCollection 2019.","Kemps E","PLoS One","2019","2019/12/17","PMC6913920","","10.1371/journal.pone.0226387"
"26375357","Bias modification training can alter approach bias and chocolate consumption","Schumacher SE, Kemps E, Tiggemann M.","Appetite. 2016 Jan 1;96:219-224. doi: 10.1016/j.appet.2015.09.014. Epub 2015 Sep 12.","Schumacher SE","Appetite","2016","2015/09/17","","","10.1016/j.appet.2015.09.014"
"33314397","Unchanged food approach-avoidance behaviour of healthy men after oxytocin administration","Melkonyan A, Liu L, Brown EC, Meyer W, Madipakkam AR, Ringelmann L, Lange F, Schmid SM, Münte TF, Park SQ.","J Neuroendocrinol. 2020 Dec;32(12):e12923. doi: 10.1111/jne.12923. Epub 2020 Dec 14.","Melkonyan A","J Neuroendocrinol","2020","2020/12/14","","","10.1111/jne.12923"
"29322245","Interactions between incentive valence and action information in a cued approach-avoidance task","Hoofs V, Carsten T, Boehler CN, Krebs RM.","Psychol Res. 2019 Feb;83(1):13-25. doi: 10.1007/s00426-018-0975-x. Epub 2018 Jan 10.","Hoofs V","Psychol Res","2019","2018/01/12","","","10.1007/s00426-018-0975-x"
"29985106","The processing of task-irrelevant emotion and colour in the Approach-Avoidance Task","Luo X, Rinck M, Bekkering H, Becker ES.","Cogn Emot. 2019 May;33(3):548-562. doi: 10.1080/02699931.2018.1497951. Epub 2018 Jul 9.","Luo X","Cogn Emot","2019","2018/07/10","","","10.1080/02699931.2018.1497951"
"25060832","In action or inaction? Social approach-avoidance tendencies in major depression","Radke S, Güths F, André JA, Müller BW, de Bruijn ER.","Psychiatry Res. 2014 Nov 30;219(3):513-7. doi: 10.1016/j.psychres.2014.07.011. Epub 2014 Jul 11.","Radke S","Psychiatry Res","2014","2014/07/26","","","10.1016/j.psychres.2014.07.011"
"27993819","Parsing the Role of the Hippocampus in Approach-Avoidance Conflict","Loh E, Kurth-Nelson Z, Berron D, Dayan P, Duzel E, Dolan R, Guitart-Masip M.","Cereb Cortex. 2017 Jan 1;27(1):201-215. doi: 10.1093/cercor/bhw378.","Loh E","Cereb Cortex","2017","2016/12/21","PMC5939226","","10.1093/cercor/bhw378"
"32562662","Different Multidimensional Representations across the Amygdalo-Prefrontal Network during an Approach-Avoidance Task","Kyriazi P, Headley DB, Paré D.","Neuron. 2020 Aug 19;107(4):717-730.e5. doi: 10.1016/j.neuron.2020.05.039. Epub 2020 Jun 19.","Kyriazi P","Neuron","2020","2020/06/21","PMC7442738","NIHMS1601874","10.1016/j.neuron.2020.05.039"
"32383682","Combining Web-Based Attentional Bias Modification and Approach Bias Modification as a Self-Help Smoking Intervention for Adult Smokers Seeking Online Help: Double-Blind Randomized Controlled Trial","Wen S, Larsen H, Boffo M, Grasman RPPP, Pronk T, van Wijngaarden JBG, Wiers RW.","JMIR Ment Health. 2020 May 8;7(5):e16342. doi: 10.2196/16342.","Wen S","JMIR Ment Health","2020","2020/05/09","PMC7244992","","10.2196/16342"
"33075432","Stop! - The automatic tendency of action, inhibition and frontal activation in individuals with alcohol-use disorder in abstinence","Martínez-Maldonado A, Rubio G, Sion A, Domínguez-Centeno I, Jurado-Barba R.","Int J Psychophysiol. 2020 Dec;158:123-135. doi: 10.1016/j.ijpsycho.2020.08.013. Epub 2020 Oct 16.","Martínez-Maldonado A","Int J Psychophysiol","2020","2020/10/19","","","10.1016/j.ijpsycho.2020.08.013"
"30866014","[Implicit Self-Regulation of Food-Intake: Consequences for Psychotherapy]","Paslakis G, de Zwaan M.","Psychother Psychosom Med Psychol. 2019 Oct;69(11):453-461. doi: 10.1055/a-0845-9439. Epub 2019 Mar 13.","Paslakis G","Psychother Psychosom Med Psychol","2019","2019/03/14","","","10.1055/a-0845-9439"
"33543777","Frontal Asymmetry in an approach-avoidance conflict paradigm","Lacey MF, Gable PA.","Psychophysiology. 2021 May;58(5):e13780. doi: 10.1111/psyp.13780. Epub 2021 Feb 5.","Lacey MF","Psychophysiology","2021","2021/02/05","","","10.1111/psyp.13780"
"21319496","Neural systems underlying approach and avoidance in anxiety disorders","Aupperle RL, Paulus MP.","Dialogues Clin Neurosci. 2010;12(4):517-31. doi: 10.31887/DCNS.2010.12.4/raupperle.","Aupperle RL","Dialogues Clin Neurosci","2010","2011/02/16","PMC3181993","","10.31887/DCNS.2010.12.4/raupperle"
"32086006","A personalized approach-avoidance modification intervention to reduce negative body image. A placebo-controlled pilot study","Glashouwer KA, Timmerman J, de Jong PJ.","J Behav Ther Exp Psychiatry. 2020 Sep;68:101544. doi: 10.1016/j.jbtep.2019.101544. Epub 2019 Dec 17.","Glashouwer KA","J Behav Ther Exp Psychiatry","2020","2020/02/23","","","10.1016/j.jbtep.2019.101544"
"26156635","Aberrant approach-avoidance conflict resolution following repeated cocaine pre-exposure","Nguyen D, Schumacher A, Erb S, Ito R.","Psychopharmacology (Berl). 2015 Oct;232(19):3573-83. doi: 10.1007/s00213-015-4006-y. Epub 2015 Jul 10.","Nguyen D","Psychopharmacology (Berl)","2015","2015/07/10","","","10.1007/s00213-015-4006-y"
"27457133","The role of the hippocampus in approach-avoidance conflict decision-making: Evidence from rodent and human studies","Ito R, Lee ACH.","Behav Brain Res. 2016 Oct 15;313:345-357. doi: 10.1016/j.bbr.2016.07.039. Epub 2016 Jul 25.","Ito R","Behav Brain Res","2016","2016/07/27","","","10.1016/j.bbr.2016.07.039"
"32032673","Fearing the wurst: Robust approach bias towards non-vegetarian food images in a sample of young female vegetarian eaters","Knight HC, Mowat SL, Hesse C.","Appetite. 2020 Jun 1;149:104617. doi: 10.1016/j.appet.2020.104617. Epub 2020 Feb 4.","Knight HC","Appetite","2020","2020/02/08","","","10.1016/j.appet.2020.104617"
"33407781","Protocol for the methamphetamine approach-avoidance training (MAAT) trial, a randomised controlled trial of personalised approach bias modification for methamphetamine use disorder","Garfield JBB, Piercy H, Arunogiri S, Lubman DI, Campbell SC, Sanfilippo PG, Gavin J, Hopwood M, Kotler E, George S, Okedara G, Piccoli LR, Manning V.","Trials. 2021 Jan 6;22(1):21. doi: 10.1186/s13063-020-04927-6.","Garfield JBB","Trials","2021","2021/01/07","PMC7788914","","10.1186/s13063-020-04927-6"
"24847292","Approach, avoidance, and affect: a meta-analysis of approach-avoidance tendencies in manual reaction time tasks","Phaf RH, Mohr SE, Rotteveel M, Wicherts JM.","Front Psychol. 2014 May 8;5:378. doi: 10.3389/fpsyg.2014.00378. eCollection 2014.","Phaf RH","Front Psychol","2014","2014/05/22","PMC4021119","","10.3389/fpsyg.2014.00378"
"31501296","Disentangling Hippocampal and Amygdala Contribution to Human Anxiety-Like Behavior","Bach DR, Hoffmann M, Finke C, Hurlemann R, Ploner CJ.","J Neurosci. 2019 Oct 23;39(43):8517-8526. doi: 10.1523/JNEUROSCI.0412-19.2019. Epub 2019 Sep 9.","Bach DR","J Neurosci","2019","2019/09/11","PMC6807285","","10.1523/JNEUROSCI.0412-19.2019"
"34473606","Vaccinated or not? Survey on attitude toward 'approach-avoidance conflict' under uncertainty","Du SY, Dai YX, Li PW, Zhao N, Li S, Zheng Y.","Hum Vaccin Immunother. 2021 Sep 2:1-6. doi: 10.1080/21645515.2021.1967038. Online ahead of print.","Du SY","Hum Vaccin Immunother","2021","2021/09/02","","","10.1080/21645515.2021.1967038"
"31869406","Social anxiety changes the way we move-A social approach-avoidance task in a virtual reality CAVE system","Lange B, Pauli P.","PLoS One. 2019 Dec 23;14(12):e0226805. doi: 10.1371/journal.pone.0226805. eCollection 2019.","Lange B","PLoS One","2019","2019/12/24","PMC6927627","","10.1371/journal.pone.0226805"
"33358774","Higher affective congruency in the approach-avoidance task is associated with insular deactivation to dynamic facial expressions","Harlé KM, Simmons AN, Bomyea J, Spadoni AD, Taylor CT.","Neuropsychologia. 2021 Jan 22;151:107734. doi: 10.1016/j.neuropsychologia.2020.107734. Epub 2020 Dec 28.","Harlé KM","Neuropsychologia","2021","2020/12/28","PMC7856231","NIHMS1660867","10.1016/j.neuropsychologia.2020.107734"
"29606418","Ventral Hippocampal CA1 and CA3 Differentially Mediate Learned Approach-Avoidance Conflict Processing","Schumacher A, Villaruel FR, Ussling A, Riaz S, Lee ACH, Ito R.","Curr Biol. 2018 Apr 23;28(8):1318-1324.e4. doi: 10.1016/j.cub.2018.03.012. Epub 2018 Apr 5.","Schumacher A","Curr Biol","2018","2018/04/03","","","10.1016/j.cub.2018.03.012"
"32224325","Costly avoidance triggered by categorical fear generalization","Wong AHK, Pittig A.","Behav Res Ther. 2020 Jun;129:103606. doi: 10.1016/j.brat.2020.103606. Epub 2020 Mar 18.","Wong AHK","Behav Res Ther","2020","2020/04/01","","","10.1016/j.brat.2020.103606"
"33114579","Challenges When Evaluating Cognitive Bias Modification Interventions for Substance Use Disorder","Zhang MWB, Smith HE.","Int J Environ Res Public Health. 2020 Oct 26;17(21):7821. doi: 10.3390/ijerph17217821.","Zhang MWB","Int J Environ Res Public Health","2020","2020/10/29","PMC7662791","","10.3390/ijerph17217821"
"30851311","Approach-avoidance tendencies towards food: Measurement on a touchscreen and the role of attention and food craving","Meule A, Lender A, Richard A, Dinic R, Blechert J.","Appetite. 2019 Jun 1;137:145-151. doi: 10.1016/j.appet.2019.03.002. Epub 2019 Mar 6.","Meule A","Appetite","2019","2019/03/10","","","10.1016/j.appet.2019.03.002"
"21475709","Approach and Avoidance Tendencies in Spider Fearful Children: The Approach-Avoidance Task","Klein AM, Becker ES, Rinck M.","J Child Fam Stud. 2011 Apr;20(2):224-231. doi: 10.1007/s10826-010-9402-7. Epub 2010 Aug 1.","Klein AM","J Child Fam Stud","2011","2011/04/09","PMC3048304","","10.1007/s10826-010-9402-7"
"31065925","Volumetric brain correlates of approach-avoidance behavior and their relation to chronic back pain","Nees F, Ruttorf M, Fuchs X, Rance M, Beyer N.","Brain Imaging Behav. 2020 Oct;14(5):1758-1768. doi: 10.1007/s11682-019-00110-x.","Nees F","Brain Imaging Behav","2020","2019/05/09","","","10.1007/s11682-019-00110-x"
"28715782","Approach and avoidance tendencies in depression and anxiety disorders","Struijs SY, Lamers F, Vroling MS, Roelofs K, Spinhoven P, Penninx BWJH.","Psychiatry Res. 2017 Oct;256:475-481. doi: 10.1016/j.psychres.2017.07.010. Epub 2017 Jul 5.","Struijs SY","Psychiatry Res","2017","2017/07/18","","","10.1016/j.psychres.2017.07.010"
"33429427","Perirhinal Cortex is Involved in the Resolution of Learned Approach-Avoidance Conflict Associated with Discrete Objects","Chu S, Margerison M, Thavabalasingam S, O'Neil EB, Zhao YF, Ito R, Lee ACH.","Cereb Cortex. 2021 Mar 31;31(5):2701-2719. doi: 10.1093/cercor/bhaa384.","Chu S","Cereb Cortex","2021","2021/01/11","PMC8023846","","10.1093/cercor/bhaa384"
"25499772","Rumination and implicit avoidance following bereavement: an approach avoidance task investigation","Eisma MC, Rinck M, Stroebe MS, Schut HA, Boelen PA, Stroebe W, van den Bout J.","J Behav Ther Exp Psychiatry. 2015 Jun;47:84-91. doi: 10.1016/j.jbtep.2014.11.010. Epub 2014 Nov 25.","Eisma MC","J Behav Ther Exp Psychiatry","2015","2014/12/16","","","10.1016/j.jbtep.2014.11.010"
"29608998","Retraining automatic action tendencies in obesity","Mehl N, Mueller-Wieland L, Mathar D, Horstmann A.","Physiol Behav. 2018 Aug 1;192:50-58. doi: 10.1016/j.physbeh.2018.03.031. Epub 2018 Mar 30.","Mehl N","Physiol Behav","2018","2018/04/03","","","10.1016/j.physbeh.2018.03.031"
"32795989","Personalized Approach Bias Modification Smartphone App (""SWIPE"") to Reduce Alcohol Use Among People Drinking at Hazardous or Harmful Levels: Protocol for an Open-Label Feasibility Study","Manning V, Piercy H, Garfield JBB, Lubman DI.","JMIR Res Protoc. 2020 Aug 14;9(8):e21278. doi: 10.2196/21278.","Manning V","JMIR Res Protoc","2020","2020/08/16","PMC7455870","","10.2196/21278"
"31794239","The Effects of Training to Reduce Automatic Action Tendencies Toward Alcohol Using the Virtual Alcohol Approach-Avoidance Task in Heavy Social Drinkers","Kim DY, Lee JH.","Cyberpsychol Behav Soc Netw. 2019 Dec;22(12):794-798. doi: 10.1089/cyber.2019.0121. Epub 2019 Dec 2.","Kim DY","Cyberpsychol Behav Soc Netw","2019","2019/12/04","","","10.1089/cyber.2019.0121"
"33005134","To Approach or Avoid: An Introductory Overview of the Study of Anxiety Using Rodent Assays","La-Vu M, Tobias BC, Schuette PJ, Adhikari A.","Front Behav Neurosci. 2020 Aug 26;14:145. doi: 10.3389/fnbeh.2020.00145. eCollection 2020.","La-Vu M","Front Behav Neurosci","2020","2020/10/02","PMC7479238","","10.3389/fnbeh.2020.00145"
"34166024","Approach-avoidance conflict and shyness: A developmental investigation","Hassan R, Poole KL, Lahat A, Willoughby T, Schmidt LA.","Dev Psychol. 2021 May;57(5):814-823. doi: 10.1037/dev0001175.","Hassan R","Dev Psychol","2021","2021/06/24","","","10.1037/dev0001175"
"31257916","Approach bias for erotic stimuli in heterosexual male college students who use pornography","Sklenarik S, Potenza MN, Gola M, Kor A, Kraus SW, Astur RS.","J Behav Addict. 2019 Jun 1;8(2):234-241. doi: 10.1556/2006.8.2019.31.","Sklenarik S","J Behav Addict","2019","2019/07/02","PMC7044553","","10.1556/2006.8.2019.31"
"30508508","Dissociative effects of dorsomedial striatum D1 and D2 receptor antagonism in the regulation of anxiety and learned approach-avoidance conflict decision-making","Nguyen D, Alushaj E, Erb S, Ito R.","Neuropharmacology. 2019 Mar 1;146:222-230. doi: 10.1016/j.neuropharm.2018.11.040. Epub 2018 Nov 30.","Nguyen D","Neuropharmacology","2019","2018/12/04","","","10.1016/j.neuropharm.2018.11.040"
"10203921","[Dependence and obsession]","Nakazawa T.","Nihon Arukoru Yakubutsu Igakkai Zasshi. 1999 Feb;34(1):27-35.","Nakazawa T","Nihon Arukoru Yakubutsu Igakkai Zasshi","1999","1999/04/16","","",""
"33716644","Characterizing Different Strategies for Resolving Approach-Avoidance Conflict","Bravo-Rivera H, Rubio Arzola P, Caban-Murillo A, Vélez-Avilés AN, Ayala-Rosario SN, Quirk GJ.","Front Neurosci. 2021 Feb 25;15:608922. doi: 10.3389/fnins.2021.608922. eCollection 2021.","Bravo-Rivera H","Front Neurosci","2021","2021/03/15","PMC7947632","","10.3389/fnins.2021.608922"
"26432503","Implicit measures of ""wanting"" and ""liking"" in humans","Tibboel H, De Houwer J, Van Bockstaele B.","Neurosci Biobehav Rev. 2015 Oct;57:350-64. doi: 10.1016/j.neubiorev.2015.09.015. Epub 2015 Sep 30.","Tibboel H","Neurosci Biobehav Rev","2015","2015/10/04","","","10.1016/j.neubiorev.2015.09.015"
